"","country","ml_predicted_score","country_txt","incidents","fatalities","injuries","hostages","norm_incidents","norm_fatalities","norm_injuries","norm_hostages","gti_score","Freedom_Fighter","Insurgency","Neutral","State_Violence","Terrorism","total_articles","terrorism_ratio","state_violence_ratio"
"1","Iraq",4.72235616435352,"Iraq",27521,81675,139428,18516,10,10,10,8.78146528881823,9.75629305776365,0,22,303,8,12,345,0.0346820809248555,0.023121387283237
"2","Afghanistan",4.72884425529643,"Afghanistan",18920,67549,67242,6024,6.87463662790698,8.27046219773493,4.82270419141062,4.64394541600424,6.43685956917554,1,8,240,2,13,264,0.0490566037735849,0.00754716981132075
"3","Pakistan",4.19761478500083,"Pakistan",15504,25259,44877,5348,5.63335755813953,3.09262320171411,3.21865048627248,4.42004504504505,4.1455333342196,1,18,220,2,24,265,0.0902255639097744,0.0075187969924812
"4","India",3.01215562610749,"India",13929,20358,30694,3217,5.06104651162791,2.49256198347107,2.20142295665146,3.71422893481717,3.44921292682342,5,14,107,14,2,142,0.013986013986014,0.0979020979020979
"5","El Salvador",3.05860747190428,"El Salvador",5320,12053,5062,22195,1.9327761627907,1.47572696663606,0.363054766617896,10,3.09516189215161,0,0,21,20,0,41,0,0.476190476190476
"6","Syria",2.78005733283251,"Syria",2997,18860,17475,5525,1.08866279069767,2.30915212733395,1.25333505465186,4.47866984631691,2.16574545560324,0,3,358,5,9,375,0.023936170212766,0.0132978723404255
"7","Nigeria",2.2042262092659,"Nigeria",5550,29093,12638,-1473,2.01635174418605,3.56204468931742,0.906417649252661,2.16083730789613,2.2869699214808,0,12,38,2,0,52,0,0.0377358490566038
"8","Philippines",1.96017705924538,"Philippines",8271,10680,14703,1046,3.00508720930233,1.30762167125803,1.05452276443756,2.99516428192899,2.10375007344142,0,5,25,1,3,34,0.0857142857142857,0.0285714285714286
"9","Colombia",1.85337213201949,"Colombia",8915,15135,10903,-5227,3.2390988372093,1.85307621671258,0.78198066385518,0.917461579226285,1.86754096479286,0,0,63,0,4,67,0.0588235294117647,0
"10","Yemen",1.80514323202536,"Yemen",6027,12842,13461,-3077,2.18968023255814,1.57232935414754,0.965444530510371,1.62957074721781,1.64760593155734,0,0,114,1,3,118,0.0252100840336134,0.00840336134453781
"11","Somalia",1.77760686943837,"Somalia",5317,13175,11225,-237,1.93168604651163,1.6131007040098,0.805075020799266,2.57021727609963,1.73849448453621,0,1,42,1,2,46,0.0425531914893617,0.0212765957446809
"12","Sri Lanka",1.72364902843096,"Sri Lanka",3041,15588,15733,1232,1.1046511627907,1.90853994490358,1.12839601801647,3.05677000529942,1.74099053697146,0,0,12,1,0,13,0,0.0714285714285714
"13","Peru",1.73434503668218,"Peru",6111,12778,4092,-7997,2.22020348837209,1.56449341903887,0.293484809363973,0,1.19410603409608,0,0,23,2,1,26,0.037037037037037,0.0740740740740741
"14","Russia",2.08466429874272,"Russia",2242,4329,7440,6578,0.814316860465116,0.530027548209366,0.533608744298132,4.8274377318495,1.47551261783187,0,2,199,5,8,214,0.0372093023255814,0.0232558139534884
"15","Algeria",1.43972404803967,"Algeria",2753,11091,9167,115,1,1.35794306703398,0.657471956852282,2.68680445151033,1.37623820178272,0,3,21,0,3,27,0.107142857142857,0
"16","Turkey",1.42481640062365,"Turkey",4485,7123,10447,736,1.62936046511628,0.872115090296908,0.749275611785294,2.89248807631161,1.47879540424334,0,1,115,9,8,133,0.0597014925373134,0.0671641791044776
"17","United States",1.44344428661976,"United States",3121,3926,26330,131,1.13372093023256,0.480685644322008,1.88842987061422,2.69210386857446,1.40042872020411,0,1,185,27,31,244,0.126530612244898,0.110204081632653
"18","United Kingdom",1.20912921177609,"United Kingdom",5513,3426,6321,-2663,2.00290697674419,0.419467401285583,0.453352267837163,1.76669316375199,1.17072139972676,NA,NA,NA,NA,NA,NA,NA,NA
"19","Thailand",1.14230950246245,"Thailand",4201,2901,8191,-173,1.52616279069767,0.355188246097337,0.58747166996586,2.59141494435612,1.2001826339029,0,5,12,2,0,19,0,0.1
"20","Nicaragua",1.14989734326883,"Nicaragua",1983,10608,1740,-242,0.720203488372093,1.29880624426079,0.124795593424563,2.56856120826709,1.1443742801282,0,0,32,6,0,38,0,0.153846153846154
"21","Lebanon",1.11524650006797,"Lebanon",2507,4105,11144,-103,0.910610465116279,0.502601775329048,0.799265570760536,2.61459989401166,1.10673676508804,0,0,62,2,6,70,0.0845070422535211,0.028169014084507
"22","Spain",1.15590146560676,"Spain",3255,1289,4937,692,1.18241279069767,0.157820630547903,0.354089565940844,2.87791467938527,1.0484708754389,0,0,6,0,1,7,0.125,0
"23","Nepal",1.09056178045291,"Nepal",1551,1977,2211,4323,0.563226744186046,0.242056932966024,0.158576469575695,4.08055113937467,1.08941062493569,0,2,5,0,0,7,0,0
"24","Egypt",1.19683651527764,"Egypt",2654,4263,5220,48,0.964026162790698,0.521946740128558,0.37438678027369,2.66461314255432,1.05359185544138,1,4,196,23,18,242,0.0740740740740741,0.0946502057613169
"25","Ethiopia",1.02213284761186,"Ethiopia",280,3205,1611,5065,0.101380813953488,0.392408937863483,0.115543506325846,4.32631160572337,1.03650794795493,0,3,38,4,2,47,0.0416666666666667,0.0833333333333333
"26","Libya",1.26274052367083,"Libya",2505,2944,3842,781,0.909883720930233,0.36045301499847,0.275554408009869,2.90739268680445,1.01769043974147,0,3,64,4,5,76,0.0649350649350649,0.051948051948052
"27","Israel",0.913262647706651,"Israel",2203,1625,7733,-289,0.800145348837209,0.198959289868381,0.554623174685142,2.55299417064123,0.921254860676951,0,8,451,7,35,501,0.0697211155378486,0.0139442231075697
"28","Bangladesh",0.938148436357201,"Bangladesh",1743,1275,8433,-243,0.632994186046512,0.156106519742883,0.604828298476633,2.56822999470058,0.871341870372262,5,4,40,0,0,49,0,0
"29","West Bank and Gaza Strip",0.902311940645538,"West Bank and Gaza Strip",2669,1663,3356,-13,0.969476744186046,0.203611876339149,0.240697707777491,2.64440911499735,0.928947950712527,NA,NA,NA,NA,NA,NA,NA,NA
"30","France",0.860909128837657,"France",2751,565,2565,450,0.999273255813954,0.0691766146311601,0.183965917893106,2.79776099629041,0.916880343970237,0,1,55,1,8,65,0.121212121212121,0.0151515151515152
"31","South Africa",0.718630575674789,"South Africa",2097,2715,4569,-189,0.761627906976744,0.332415059687787,0.327696015147603,2.586115527292,0.91097519848728,4,0,23,0,0,27,0,0
"32","Ukraine",0.778507110419919,"Ukraine",1818,2303,2922,-164,0.660247093023256,0.281971227425773,0.209570531026767,2.59439586645469,0.843458775631,0,1,128,0,10,139,0.0714285714285714,0
"33","Democratic Republic of the Congo",0.750139507647417,"Democratic Republic of the Congo",1498,7060,1995,-4036,0.543968023255814,0.864401591674319,0.143084602805749,1.31193693693694,0.713515192427577,NA,NA,NA,NA,NA,NA,NA,NA
"34","Japan",0.761284827737426,"Japan",405,66,7008,408,0.146802325581395,0.00808080808080808,0.502625010758241,2.78385002649709,0.703759947549726,1,1,11,1,1,15,0.0625,0.0625
"35","Indonesia",0.720264839405688,"Indonesia",850,1345,2602,1205,0.308502906976744,0.164677073767983,0.186619617293514,3.04782723900371,0.788843365482863,0,3,22,0,2,27,0.0714285714285714,0
"36","Burundi",0.743664645910757,"Burundi",636,4294,2562,-131,0.230741279069767,0.525742271196817,0.183750753076857,2.60532591414944,0.784760398525235,0,1,20,0,0,21,0,0
"37","Sudan",0.726353237473799,"Sudan",1068,4144,2543,-2036,0.387718023255814,0.507376798285889,0.182388042573945,1.97436406995231,0.699878868967761,0,1,135,2,4,142,0.027972027972028,0.013986013986014
"38","Guatemala",0.78682393379362,"Guatemala",2055,5169,1243,-4473,0.746366279069767,0.63287419651056,0.0891499555326046,1.16719660837308,0.665041455455235,0,0,8,0,0,8,0,0
"39","Angola",0.774203394340792,"Angola",501,3060,2456,175,0.181686046511628,0.37465564738292,0.176148262902717,2.7066772655008,0.743467613849067,0,0,10,0,0,10,0,0
"40","Kenya",0.72913986988836,"Kenya",850,2173,6487,-1441,0.308502906976744,0.266054484236302,0.465258054336288,2.17143614202438,0.699706056636047,0,1,27,1,2,31,0.0625,0.03125
"41","Iran",0.766535957336823,"Iran",712,1782,4186,340,0.258357558139535,0.218181818181818,0.300226640273116,2.76132750397456,0.755272641745942,0,5,206,24,18,253,0.0708661417322835,0.094488188976378
"42","Cameroon",0.7243449370295,"Cameroon",879,3186,1642,619,0.319040697674419,0.390082644628099,0.117766876093754,2.85373608903021,0.807037595715548,0,0,6,0,0,6,0,0
"43","Uganda",0.754273070627683,"Uganda",413,3104,1154,1171,0.149709302325581,0.380042852770126,0.0827667326505437,3.03656597774245,0.78279218860731,0,0,11,1,0,12,0,0.0769230769230769
"44","Mali",0.735395826151193,"Mali",1009,3411,2140,-587,0.366279069767442,0.41763085399449,0.153484235591129,2.45429252782194,0.756728329811194,0,3,54,0,5,62,0.0793650793650794,0
"45","Chile",0.719685153375457,"Chile",2499,231,791,-1711,0.907703488372093,0.0282828282828283,0.0567317898843848,2.0820084790673,0.708543948786814,0,0,13,3,0,16,0,0.176470588235294
"46","Myanmar",0.74267418354635,"Myanmar",743,1442,1897,910,0.269622093023256,0.176553412917049,0.13605588547494,2.95011923688394,0.751087676253868,1,1,54,8,2,66,0.0298507462686567,0.119402985074627
"47","Central African Republic",0.717547003546441,"Central African Republic",382,2440,1615,825,0.13844476744186,0.298745026017753,0.115830392747511,2.92196608373079,0.738716233333544,0,0,9,0,0,9,0,0
"48","South Sudan",0.737237727378869,"South Sudan",323,2854,1423,894,0.117005813953488,0.349433731251913,0.102059844507559,2.94481981981982,0.749307796427096,NA,NA,NA,NA,NA,NA,NA,NA
"49","Italy",0.662665722575601,"Italy",1603,420,1320,-217,0.582122093023256,0.0514233241505969,0.0946725191496686,2.57684154742978,0.724366438468046,0,0,12,1,1,14,0.0666666666666667,0.0666666666666667
"50","Mozambique",0.655594419245521,"Mozambique",785,3893,1767,-1587,0.284883720930233,0.476645240281604,0.126732076770806,2.12307896131426,0.678420895980563,0,2,10,0,1,13,0.0714285714285714,0
"51","Greece",0.652880697409239,"Greece",1386,264,763,393,0.503270348837209,0.0323232323232323,0.0547235849327251,2.77888182299947,0.727399155934571,0,0,7,0,0,7,0,0
"52","Saudi Arabia",0.640483969173374,"Saudi Arabia",582,705,1830,535,0.211119186046512,0.086317722681359,0.131250537912041,2.82591414944356,0.680664010089482,0,2,29,4,9,44,0.2,0.0888888888888889
"53","Rwanda",0.644362020748387,"Rwanda",168,3274,956,-9,0.0606831395348837,0.40085705540251,0.0685658547780933,2.64573396926338,0.681322023289513,0,0,15,0,2,17,0.111111111111111,0
"54","China",0.630865450813713,"China",288,1010,1856,-87,0.104287790697674,0.123660850933578,0.133115299652867,2.61989931107578,0.618987514635106,0,0,95,30,9,134,0.0666666666666667,0.222222222222222
"55","Chad",0.638877370604567,"Chad",132,1664,1867,73,0.0476017441860465,0.203734312825222,0.133904237312448,2.67289348171701,0.636760360909272,0,2,4,2,1,9,0.1,0.2
"56","Niger",0.637613281598234,"Niger",257,2284,751,164,0.0930232558139535,0.279644934190389,0.0538629256677281,2.70303391626921,0.66317982538869,0,1,16,0,1,18,0.0526315789473684,0
"57","Cambodia",0.634650294725585,"Cambodia",261,543,786,772,0.0944767441860465,0.0664830119375574,0.0563731818573027,2.90441176470588,0.640444916149718,0,0,9,1,0,10,0,0.0909090909090909
"58","West Germany (FRG)",0.631104458592606,"West Germany (FRG)",541,97,862,189,0.196220930232558,0.0118763391490664,0.0618240238689503,2.7113142554319,0.617056836674658,NA,NA,NA,NA,NA,NA,NA,NA
"59","Burkina Faso",0.595297562893553,"Burkina Faso",395,1735,716,-327,0.143168604651163,0.212427303336394,0.0513526694781536,2.54040805511394,0.625030917314685,0,0,11,0,0,11,0,0
"60","Argentina",0.591556665267083,"Argentina",826,492,760,-358,0.299781976744186,0.0602387511478421,0.0545084201164759,2.5301404345522,0.624935989301344,0,0,18,0,2,20,0.0952380952380952,0
"61","Venezuela",0.573691987062564,"Venezuela",320,275,300,1158,0.115915697674419,0.0336700336700337,0.0215164816249247,3.03226020137785,0.65563105600389,0,0,91,10,2,103,0.0192307692307692,0.0961538461538462
"62","Germany",0.573730934630786,"Germany",816,103,735,44,0.296148255813953,0.0126109580655035,0.0527153799810655,2.66328828828829,0.635828497817708,0,2,36,1,2,41,0.0476190476190476,0.0238095238095238
"63","Mexico",0.565093480611543,"Mexico",600,846,730,-352,0.21765988372093,0.103581267217631,0.0523567719539834,2.53212771595125,0.613269242862614,0,1,43,6,0,50,0,0.117647058823529
"64","Tajikistan",0.570177979511462,"Tajikistan",193,389,1118,-103,0.0697674418604651,0.0476277930823385,0.0801847548555527,2.61459989401166,0.574175500256283,0,0,1,0,0,1,0,0
"65","Sierra Leone",0.565062096835353,"Sierra Leone",101,840,122,361,0.0363372093023256,0.102846648301194,0.00875003586080271,2.76828298887122,0.597161762227461,0,0,1,0,0,1,0,0
"66","Brazil",0.561269640875289,"Brazil",295,218,170,71,0.106831395348837,0.0266911539638812,0.0121926729207907,2.672231054584,0.576941510294773,0,1,18,0,2,21,0.0909090909090909,0
"67","Switzerland",0.562802130109874,"Switzerland",116,75,98,454,0.0417877906976744,0.00918273645546373,0.00702871733080873,2.79908585055644,0.576514071723391,0,0,4,0,0,4,0,0
"68","Honduras",0.566995016893578,"Honduras",330,313,241,-331,0.119549418604651,0.038322620140802,0.0172849069053562,2.53908320084791,0.558635233174289,0,0,8,2,0,10,0,0.181818181818182
"69","Georgia",0.56356338391253,"Georgia",219,279,392,57,0.0792151162790698,0.0341597796143251,0.0281148693232349,2.66759406465289,0.573154255563243,0,0,16,1,0,17,0,0.0555555555555556
"70","Namibia",0.566882347839295,"Namibia",151,220,406,60,0.0545058139534884,0.0269360269360269,0.0291189717990647,2.66858770535241,0.56397388769715,1,0,1,0,0,2,0,0
"71","Ireland",0.560809656292868,"Ireland",333,108,26,-150,0.120639534883721,0.0132231404958678,0.00186476174082681,2.5990328563858,0.560338326239202,0,0,4,0,0,4,0,0
"72","Bolivia",0.561233894753359,"Bolivia",326,54,226,-118,0.118095930232558,0.00661157024793388,0.0162090828241099,2.60963169051404,0.562580404811778,0,0,8,0,0,8,0,0
"73","Malaysia",0.561779828787191,"Malaysia",109,156,103,249,0.0392441860465116,0.0191000918273646,0.00738732535789081,2.73118706942236,0.565218162318214,0,4,1,0,2,7,0.25,0
"74","Tunisia",0.56237677613735,"Tunisia",150,385,502,-69,0.0541424418604651,0.0471380471380471,0.0360042459190407,2.62586115527292,0.562757226937946,0,0,25,3,4,32,0.121212121212121,0.0909090909090909
"75","Netherlands",0.560465295059502,"Netherlands",177,41,75,294,0.063953488372093,0.00501989592898684,0.00537912040623117,2.74609167991521,0.570986175354612,0,0,6,0,0,6,0,0
"76","Haiti",0.557873365480059,"Haiti",224,340,310,-179,0.081031976744186,0.0416284052647689,0.0222336976790888,2.58942766295707,0.559130386729919,0,1,33,1,0,35,0,0.0277777777777778
"77","Belgium",0.560092500647509,"Belgium",161,83,523,22,0.0581395348837209,0.0101622283440465,0.0375103996327854,2.65600158982512,0.559192926859911,0,0,15,0,1,16,0.0588235294117647,0
"78","Kosovo",0.555577976575615,"Kosovo",201,84,365,11,0.0726744186046512,0.0102846648301194,0.0261783859769917,2.65235824059353,0.560595050344536,1,0,3,0,2,6,0.285714285714286,0
"79","Taiwan",0.553803303620834,"Taiwan",54,60,87,358,0.0192587209302326,0.00734618916437098,0.00623977967122816,2.7672893481717,0.562687298596967,1,0,7,0,0,8,0,0
"80","Yugoslavia",0.554272557729075,"Yugoslavia",203,119,281,9,0.0734011627906977,0.0145699418426691,0.0201537711220128,2.65169581346052,0.560761248306517,0,0,2,0,0,2,0,0
"81","Kuwait",0.554355790057888,"Kuwait",76,63,300,182,0.0272529069767442,0.00771349862258953,0.0215164816249247,2.70899576046635,0.556592370098055,0,1,4,1,1,7,0.125,0.125
"82","Canada",0.554986463584733,"Canada",126,381,200,15,0.045421511627907,0.0466483011937557,0.0143443210832831,2.65368309485957,0.561226427035069,0,2,32,1,2,37,0.0526315789473684,0.0263157894736842
"83","Senegal",0.550589108217401,"Senegal",122,343,330,-94,0.043968023255814,0.0419957147229875,0.0236681297874172,2.61758081611023,0.554038910573169,0,0,6,0,0,6,0,0
"84","Bosnia-Herzegovina",0.546976099393711,"Bosnia-Herzegovina",161,79,151,6,0.0581395348837209,0.00967248239975513,0.0108299624178788,2.650702172761,0.552650032220818,NA,NA,NA,NA,NA,NA,NA,NA
"85","Zimbabwe",0.54603403944125,"Zimbabwe",106,157,270,26,0.0381540697674419,0.0192225283134374,0.0193648334624322,2.65732644409115,0.55255123493498,1,0,31,2,0,34,0,0.0571428571428571
"86","Macedonia",0.545672765630036,"Macedonia",118,49,60,115,0.0425145348837209,0.00599938781756964,0.00430329632498494,2.68680445151033,0.552775726377451,0,0,3,0,0,3,0,0
"87","Cyprus",0.546327651840005,"Cyprus",130,45,41,155,0.046875,0.00550964187327824,0.00294058582207304,2.70005299417064,0.556314108560526,0,0,2,0,0,2,0,0
"88","Bahrain",0.546306854183943,"Bahrain",208,44,190,5,0.075218023255814,0.00538720538720539,0.013627105029119,2.65037095919449,0.556981181437627,0,0,7,2,1,10,0.0909090909090909,0.181818181818182
"89","Zaire",0.546011050858313,"Zaire",50,324,211,6,0.0178052325581395,0.0396694214876033,0.0151332587428637,2.650702172761,0.550409482514495,0,0,1,0,0,1,0,0
"90","Morocco",0.536795734540905,"Morocco",37,294,200,10,0.0130813953488372,0.0359963269054178,0.0143443210832831,2.65202702702703,0.547997586298339,0,0,6,0,2,8,0.222222222222222,0
"91","Azerbaijan",0.542366926551086,"Azerbaijan",50,258,188,1,0.0178052325581395,0.0315886134067952,0.0134836618182861,2.64904610492846,0.547324107138829,0,0,9,0,0,9,0,0
"92","Djibouti",0.542733910745326,"Djibouti",22,274,162,22,0.00763081395348837,0.0335475971839608,0.0116189000774593,2.65600158982512,0.54587762132175,0,0,1,0,0,1,0,0
"93","Portugal",0.540650600583763,"Portugal",141,32,95,8,0.0508720930232558,0.00391796755433119,0.00681355251455949,2.65136459989401,0.54807264865499,0,0,1,0,0,1,0,0
"94","Australia",0.53986339049955,"Australia",120,27,117,20,0.0432412790697674,0.00330578512396694,0.00839142783372063,2.6553391626921,0.546710237363285,0,1,26,1,8,36,0.216216216216216,0.027027027027027
